timestamp,USDT_ARS_Parallel_sell_price,USDT_ARS_TradingView_open,USDT_ARS_TradingView_close,USDT_ARS_TradingView_high,USDT_ARS_TradingView_low,USDT_ARS_TradingView_volume,USD_ARS_Official_open,USD_ARS_Official_close,USD_ARS_Official_high,USD_ARS_Official_low
2024-05-02,1040.0,1079.05,1088.45,1099.99,1074.05,7209901.19,876.2,878.0,878.0,876.2
2024-05-03,1035.0,1089.55,1092.69,1115.0,1059.25,7624761.01,878.0,878.5,878.74,878.0
2024-05-04,,1092.83,1094.74,1099.95,1087.55,1982407.04,,,,
2024-05-05,,1093.05,1094.11,1099.6,1090.62,1690532.48,,,,
2024-05-06,1045.0,1095.7,1089.75,1099.0,1085.05,6141768.44,878.5,880.0,880.24,878.5
2024-05-07,1040.0,1091.18,1082.95,1096.0,1078.51,6545471.96,880.0,880.5,880.5,880.0
2024-05-08,1040.0,1079.75,1070.6,1086.49,1063.76,5250771.1,880.5,881.5,881.74,880.5
2024-05-09,1045.0,1070.6,1068.17,1083.5,1064.61,4682120.62,881.5,882.0,882.24,881.5
2024-05-10,1040.0,1066.95,1056.58,1075.0,1054.8,6754966.48,882.0,882.5,882.5,882.0
2024-05-11,,1056.58,1057.45,1063.09,1052.83,2381648.85,,,,
2024-05-12,,1057.66,1057.13,1061.99,1052.11,2146655.18,,,,
2024-05-13,1045.0,1057.07,1059.15,1064.64,1047.5,5708670.69,882.5,884.0,884.24,882.5
2024-05-14,1060.0,1059.15,1076.74,1079.77,1058.26,3242134.71,884.0,885.0,885.24,884.0
2024-05-15,1080.0,1077.26,1088.12,1095.45,1073.8,3532282.83,885.0,885.5,885.74,885.0
2024-05-16,1100.0,1088.12,1091.31,1094.26,1083.55,1899839.45,885.5,886.0,886.24,885.5
2024-05-17,1105.0,1091.32,1101.65,1111.3,1090.1,2451360.89,886.0,886.5,886.74,886.0
2024-05-18,,1101.52,1101.43,1105.29,1097.55,1229821.87,,,,
2024-05-19,,1100.25,1107.95,1110.0,1098.48,1030953.79,,,,
2024-05-20,1160.0,1108.42,1137.95,1145.0,1104.81,3967903.21,886.5,888.5,888.74,886.5
2024-05-21,1230.0,1137.95,1184.74,1191.35,1132.58,3806088.28,888.5,889.0,889.24,888.5
2024-05-22,1270.0,1184.87,1233.51,1259.45,1181.8,5033880.16,889.0,889.5,889.74,889.0
2024-05-23,1290.0,1235.41,1241.01,1279.5,1225.65,3066502.01,889.5,890.0,890.24,889.5
2024-05-24,1240.0,1243.55,1209.87,1251.76,1196.0,3666492.94,890.0,890.5,890.74,890.0
2024-05-25,,1211.07,1200.2,1214.93,1190.6,1747077.16,,,,
2024-05-26,,1198.36,1198.2,1205.52,1185.07,1304197.17,,,,
2024-05-27,1210.0,1198.15,1220.16,1229.38,1175.55,6316015.25,890.5,893.0,893.0,890.5
2024-05-28,1210.0,1221.34,1211.39,1240.51,1203.08,4405740.28,893.0,893.0,893.24,893.0
2024-05-29,1220.0,1211.34,1208.35,1226.3,1198.5,3869512.15,893.0,893.5,893.74,893.0
2024-05-30,1230.0,1210.51,1205.97,1219.4,1198.55,2860772.95,893.5,894.24,894.5,893.5
2024-05-31,1230.0,1206.42,1226.9,1235.95,1202.31,4707588.8,894.24,895.5,895.5,894.24
2024-06-01,,1226.86,1230.38,1234.4,1223.95,1400072.74,,,,
2024-06-02,,1230.35,1236.21,1237.15,1227.29,1102950.12,,,,
2024-06-03,1235.0,1235.15,1263.59,1270.8,1224.07,7293937.8,895.5,896.0,896.5,895.24
2024-06-04,1265.0,1263.47,1282.45,1304.45,1257.61,7228510.8,896.0,896.5,897.0,895.25
2024-06-05,1255.0,1282.4,1288.16,1290.9,1269.01,7792156.56,896.5,898.0,898.0,896.5
2024-06-06,1250.0,1288.17,1285.18,1296.65,1279.6,7618178.14,898.0,898.0,898.5,897.75
2024-06-07,1260.0,1284.93,1286.85,1296.9,1279.5,6945767.8,898.0,899.0,899.0,898.0
2024-06-08,,1286.8,1292.53,1293.53,1286.8,1643512.48,,,,
2024-06-09,,1291.2,1291.9,1293.75,1289.18,1508443.06,,,,
2024-06-10,1285.0,1291.95,1295.0,1302.5,1286.12,5197750.87,899.0,901.5,901.5,899.0
2024-06-11,1295.0,1293.76,1308.6,1312.45,1292.25,2941762.82,901.5,901.5,902.24,901.0
2024-06-12,1285.0,1309.28,1287.65,1332.97,1281.01,3206978.06,901.5,901.5,902.24,901.5
2024-06-13,1245.0,1286.08,1274.16,1294.09,1245.75,3143606.94,901.5,902.0,902.74,901.5
2024-06-14,1280.0,1274.16,1276.91,1290.0,1264.9,2340477.85,902.0,903.0,903.0,901.5
2024-06-15,,1277.03,1280.72,1285.39,1270.83,1166085.27,,,,
2024-06-16,,1280.7,1288.2,1290.12,1276.75,781892.35,,,,
2024-06-17,,1289.97,1303.85,1305.5,1285.18,1617295.06,903.0,902.49,903.0,902.49
2024-06-18,1305.0,1303.85,1297.1,1316.4,1279.75,4341587.16,902.49,905.5,906.0,902.49
2024-06-19,1300.0,1297.09,1299.54,1303.8,1288.58,2929720.13,905.5,905.74,905.74,905.5
2024-06-20,,1300.81,1299.69,1304.6,1297.55,1838261.08,905.74,905.74,905.74,905.74
2024-06-21,,1299.69,1299.75,1310.28,1296.95,2364364.9,905.74,905.54,905.74,905.54
2024-06-22,,1299.75,1300.78,1305.0,1298.78,1443288.27,,,,
2024-06-23,,1301.84,1304.56,1305.5,1296.1,1162768.48,,,,
2024-06-24,1330.0,1302.76,1323.85,1326.7,1295.51,4010968.94,905.54,908.5,909.24,905.54
2024-06-25,1360.0,1324.64,1334.88,1338.95,1319.55,4407028.97,908.5,909.0,909.5,908.5
2024-06-26,1370.0,1334.26,1349.7,1352.32,1328.82,4601493.09,909.0,910.5,910.5,909.0
2024-06-27,1355.0,1349.7,1341.6,1365.5,1332.62,2029135.19,910.5,910.5,911.74,910.5
2024-06-28,1365.0,1341.62,1365.82,1372.99,1336.55,2242275.2,910.5,911.0,911.99,910.5
2024-06-29,,1365.81,1373.05,1377.11,1360.5,1429778.92,,,,
2024-06-30,,1373.76,1383.33,1387.49,1371.5,1280087.83,,,,
2024-07-01,1405.0,1382.78,1405.7,1410.99,1365.53,2833889.69,911.0,913.0,913.5,911.0
2024-07-02,1425.0,1406.13,1435.78,1443.26,1401.28,2883277.54,913.0,914.0,914.5,913.0
2024-07-03,1410.0,1438.36,1402.15,1450.38,1381.5,3605199.9,914.0,913.5,915.24,913.0
2024-07-04,1395.0,1402.18,1416.61,1435.44,1390.55,2738626.46,913.5,913.5,913.5,913.5
2024-07-05,1420.0,1416.58,1415.14,1437.98,1388.5,3467474.82,913.5,915.0,916.5,913.5
2024-07-06,,1414.6,1425.3,1427.0,1408.1,1238676.0,,,,
2024-07-07,,1423.64,1422.59,1426.99,1414.5,1007739.51,,,,
2024-07-08,1440.0,1421.01,1408.84,1426.01,1399.45,3714612.94,915.0,917.0,917.5,915.0
2024-07-09,,1408.53,1406.55,1416.49,1400.85,1531328.81,917.0,917.0,917.0,917.0
2024-07-10,1440.0,1406.55,1414.52,1415.76,1390.34,4322213.82,917.0,918.5,919.24,917.0
2024-07-11,1465.0,1412.75,1441.77,1448.0,1404.01,4031159.41,918.5,919.0,920.0,918.5
2024-07-12,1500.0,1441.27,1455.87,1466.5,1432.85,4451589.33,919.0,919.0,919.24,918.5
2024-07-13,,1455.0,1445.86,1463.5,1435.5,1810475.18,,,,
2024-07-14,,1445.55,1431.2,1448.95,1425.5,1398206.1,,,,
2024-07-15,1420.0,1429.51,1352.49,1439.5,1340.53,4953858.79,919.0,922.0,922.0,919.0
2024-07-16,1395.0,1351.5,1319.49,1358.01,1287.5,6564631.56,922.0,922.5,923.0,922.0
2024-07-17,1465.0,1319.89,1335.75,1349.15,1309.52,6692166.02,922.5,922.5,923.0,922.0
2024-07-18,1455.0,1336.25,1343.5,1355.45,1330.01,5602253.29,922.5,924.5,924.5,922.5
2024-07-19,1440.0,1343.5,1356.3,1367.5,1342.0,2878499.72,924.5,924.0,925.0,923.0
2024-07-20,,1356.69,1359.57,1362.99,1352.0,1605196.92,,,,
2024-07-21,,1359.53,1359.82,1362.5,1355.5,1191148.66,,,,
2024-07-22,1440.0,1359.82,1360.5,1363.5,1345.51,4668193.02,924.0,925.5,926.24,924.0
2024-07-23,1445.0,1359.04,1364.0,1370.0,1354.25,5929047.35,925.5,925.5,926.24,925.5
2024-07-24,1445.0,1364.0,1360.46,1367.05,1348.51,3806527.31,925.5,927.5,927.74,925.5
2024-07-25,1445.0,1360.46,1357.03,1362.5,1345.57,3389463.93,927.5,929.0,929.0,927.5
2024-07-26,1435.0,1357.03,1336.91,1360.47,1327.25,4502779.92,929.0,928.5,929.0,928.5
2024-07-27,,1338.51,1339.05,1344.49,1335.55,1087977.76,,,,
2024-07-28,,1339.05,1342.88,1346.0,1338.5,839191.51,,,,
2024-07-29,1415.0,1342.91,1325.7,1345.0,1313.8,4740733.57,928.5,931.5,931.5,928.5
2024-07-30,1385.0,1325.84,1300.8,1327.49,1286.28,4833896.48,931.5,932.0,932.0,930.5
2024-07-31,1360.0,1302.49,1319.5,1320.99,1279.99,4162685.03,932.0,930.5,932.0,930.5
2024-08-01,1380.0,1319.0,1326.44,1341.5,1303.0,4206803.06,930.5,931.5,932.49,930.5
2024-08-02,1395.0,1326.6,1339.66,1342.99,1315.55,4149890.99,931.5,933.0,933.0,931.5
2024-08-03,,1339.67,1358.57,1360.0,1337.57,1667261.72,,,,
2024-08-04,,1357.51,1372.55,1380.49,1354.79,1526498.68,,,,
2024-08-05,1395.0,1373.01,1361.92,1425.0,1339.05,7048259.97,933.0,934.5,935.0,933.0
2024-08-06,1370.0,1363.83,1353.05,1374.99,1337.01,4600350.04,934.5,935.0,935.75,934.5
2024-08-07,1380.0,1352.87,1342.24,1354.99,1332.55,3772387.15,935.0,935.5,936.0,935.0
2024-08-08,1375.0,1343.28,1326.58,1345.99,1319.06,3577412.36,935.5,936.0,936.74,935.5
2024-08-09,1355.0,1325.84,1310.25,1331.5,1304.15,3555202.94,936.0,936.5,936.99,936.0
2024-08-10,,1310.25,1311.11,1316.0,1308.25,1311190.41,,,,
2024-08-11,,1310.9,1316.49,1318.5,1309.5,984773.19,,,,
2024-08-12,1350.0,1315.0,1301.94,1322.0,1292.62,4349009.79,936.5,938.5,939.24,936.5
2024-08-13,1355.0,1302.86,1288.94,1305.0,1283.0,3841733.41,938.5,939.5,939.5,938.5
2024-08-14,1355.0,1289.78,1280.22,1290.33,1270.0,3781636.97,939.5,940.0,941.0,939.5
2024-08-15,1350.0,1279.72,1294.49,1300.0,1273.3,2972162.14,940.0,940.5,941.0,940.0
2024-08-16,1345.0,1293.99,1301.61,1309.68,1282.55,2813299.01,940.5,941.0,941.24,940.5
2024-08-17,,1302.1,1305.5,1313.0,1290.1,1109433.57,,,,
2024-08-18,,1305.5,1307.3,1311.99,1304.0,852238.53,,,,
2024-08-19,1350.0,1307.3,1302.25,1311.43,1294.26,3441502.3,941.0,943.0,943.74,941.0
2024-08-20,,1302.25,1308.0,1310.5,1296.52,3549487.59,943.0,943.5,944.0,943.0
2024-08-21,1355.0,1308.0,1303.75,1321.01,1296.51,2747574.12,943.5,943.5,944.24,943.5
2024-08-22,1355.0,1304.25,1304.89,1308.99,1299.0,2371373.53,943.5,945.0,945.0,943.5
2024-08-23,1350.0,1304.86,1301.59,1306.5,1293.0,3114449.47,945.0,945.5,945.5,944.5
2024-08-24,1350.0,1300.42,1300.53,1303.99,1298.26,1247259.59,,,,
2024-08-25,1350.0,1300.52,1301.3,1303.99,1299.58,749809.42,,,,
2024-08-26,1350.0,1303.08,1304.3,1307.5,1293.51,3864608.05,945.5,949.0,949.0,945.5
2024-08-27,1350.0,1305.16,1308.47,1310.0,1298.58,2745932.02,949.0,948.5,949.0,948.5
2024-08-28,1340.0,1309.27,1306.0,1311.99,1301.63,2631230.74,948.5,948.0,949.24,948.0
2024-08-29,1335.0,1305.0,1296.56,1308.0,1290.76,1852212.65,948.0,950.0,950.0,948.0
2024-08-30,1315.0,1296.55,1297.47,1301.5,1286.0,1743920.48,950.0,950.5,951.24,949.0
2024-08-31,1305.0,1296.75,1304.0,1306.61,1296.56,967593.9,,,,
