JUN 2019	8,316.89 	1,944.81 	6,372.15
JUL 2019	8,046.60 	1,975.36 	6,071.45
AGO 2019	8,026.71 	2,108.97 	5,918.33
SEP 2019	7,650.23 	2,068.54 	5,581.70
OCT 2019	6,829.81 	2,066.31 	4,763.53
NOV 2019	6,459.54 	2,013.55 	4,446.00
DIC 2019	6,467.53 	2,093.42 	4,374.11
ENE 2020	6,373.55 	2,180.55 	4,193.00
FEB 2020	6,309.69 	2,267.62 	4,042.07
MAR 2020	6,090.58 	2,237.81 	3,852.77
ABR 2020	6,532.35 	2,350.39 	4,181.97
MAY 2020	6,389.73 	2,372.31 	4,017.42
JUN 2020	6,272.37 	2,444.27 	3,828.10
JUL 2020	6,608.23 	2,687.59 	3,920.65
AGO 2020	6,644.18 	2,720.61 	3,923.58
SEP 2020	6,355.79 	2,619.54 	3,736.25
OCT 2020	5,578.06 	2,582.12 	2,995.94
NOV 2020	5,304.52 	2,483.32 	2,821.20
DIC 2020	5,275.94 	2,613.46 	2,662.48
ENE 2021	4,963.76 	2,544.59 	2,420.27
FEB 2021	4,769.87 	2,457.51 	2,312.36
MAR 2021	4,525.89 	2,323.67 	2,202.28
ABR 2021	4,628.54 	2,448.34 	2,181.02
MAY 2021	4,886.76 	2,627.85 	2,258.90
JUN 2021	4,624.27 	2,435.32 	2,188.95
JUL 2021	4,745.56 	2,528.51 	2,217.04
AGO 2021	5,116.24 	2,502.64 	2,613.60
SEP 2021	4,830.67 	2,383.54 	2,447.13
OCT 2021	4,890.17 	2,485.57 	2,404.60
NOV 2021	4,762.26 	2,463.89 	2,298.37
DIC 2021	4,752.49 	2,511.00 	2,242.46
ENE 2022	4,483.35 	2,469.68 	2,013.67
FEB 2022	4,396.18 	2,600.32 	1,795.86
MAR 2022	4,599.03 	2,675.40 	1,923.63
ABR 2022	4,602.18 	2,616.85 	1,985.33
MAY 2022	4,577.54 	2,564.93 	2,012.62
JUN 2022	4,505.45 	2,513.67 	1,991.77
JUL 2022	4,301.06 	2,428.42 	1,872.64
AGO 2022	3,806.97 	2,386.04 	1,420.93
SEP 2022	3,844.16 	2,295.13 	1,549.04
OCT 2022	3,687.16 	2,275.32 	1,411.84
NOV 2022	3,808.28 	2,425.14 	1,383.14
DIC 2022	3,796.18 	2,518.73 	1,277.45
ENE 2023	3,616.01 	2,664.91 	951.11
FEB 2023	3,148.52 	2,523.28 	625.24
MAR 2023	3,112.26 	2,746.79 	365.47
ABR 2023	3,158.30 	2,757.75 	400.55
MAY 2023	2,951.92 	2,572.53 	379.39
JUN 2023	2,611.58 	2,169.94 	441.65
JUL 2023	2,512.93 	1,957.88 	555.05
AGO 2023	2,147.31 	1,629.70 	517.61
SEP 2023	1,817.61 	1,466.62 	350.99
OCT 2023	1,653.80 	1,424.22 	229.57
NOV 2023	1,687.52 	1,460.98 	226.54
DIC 2023	1,708.59 	1,566.26 	241.50
ENE 2024	1,615.56 	1,467.82 	247.51
FEB 2024	1,581.87 	1,455.65 	226.47
MAR 2024	1,677.06 	1,553.70 	224.13
ABR 2024	1,796.40 	1,688.48 	209.19
MAY 2024	1,938.30 	1,659.29 	380.79
JUN 2024	1,838.91 	1,666.38 	274.83
JUL 2024	1,820.19 	1,722.10 	200.90
AGO 2024	1,905.27 	1,815.10 	193.50
SEP 2024	1,966.37 	1,889.80 	180.40
OCT 2024	2,065.40 	1,991.80 	177.90
NOV 2024	1,952.10 	1,875.00 	181.90
DIC 2024	1,976.10 	1,889.30 	87.30
ENE 2025	2,103.40 	1,996.70 	106.70
FEB 2025	2,187.90 	2,055.90 	132.00
MAR 2025	2,302.00 	2,194.10 	107.90
ABR 2025	2,618.10 	2,397.20 	220.90
